dict_code,dict_name,iterm_value,iterm_name,sort
GO_wechat_customer_type,企微-客户类型,GOI_2,企微,1
GO_wechat_customer_type,企微-客户类型,GOI_3,其他,2
GO_wechat_gender,企微-性别,GOI_0,未知,0
GO_wechat_gender,企微-性别,GOI_1,男,1
GO_wechat_gender,企微-性别,GOI_2,女,2
GO_wechat_owner_relation,企微-好友关系,GOI_0,未添加,0
GO_wechat_owner_relation,企微-好友关系,GOI_1,已申请,1
GO_wechat_owner_relation,企微-好友关系,GOI_2,已添加,2
GO_wechat_owner_relation,企微-好友关系,GOI_3,已删除(客户主动删除),3
GO_wechat_owner_relation,企微-好友关系,GOI_4,已删除(员工主动删除),4
GO_wechat_add_way,企微-添加方式,GOI_0,未知,0
GO_wechat_add_way,企微-添加方式,GOI_1,扫描二维码,1
GO_wechat_add_way,企微-添加方式,GOI_2,搜索手机号,2
GO_wechat_add_way,企微-添加方式,GOI_3,名片分享,3
GO_wechat_add_way,企微-添加方式,GOI_4,群聊,4
GO_wechat_add_way,企微-添加方式,GOI_5,手机通讯录,5
GO_wechat_add_way,企微-添加方式,GOI_6,微信联系人,6
GO_wechat_add_way,企微-添加方式,GOI_7,安装第三方应用时自动添加的客服人员,7
GO_wechat_add_way,企微-添加方式,GOI_8,搜索邮箱,8
GO_wechat_add_way,企微-添加方式,GOI_10,视频号添加,9
GO_wechat_add_way,企微-添加方式,GOI_201,内部成员共享,10
GO_wechat_add_way,企微-添加方式,GOI_202,管理员/负责人分配,11
GO_wechat_takeover_status,企微-接替状态,GOI_0,接替中,0
GO_wechat_takeover_status,企微-接替状态,GOI_1,接替成功,1
GO_wechat_takeover_status,企微-接替状态,GOI_2,接替失败,2
GO_wechat_takeover_type,企微-接替类型,GOI_0,离职转接,0
GO_wechat_takeover_type,企微-接替类型,GOI_1,在职转接,1
GO_wechat_member_type,企微-群成员类型,GOI_1,企业成员,0
GO_wechat_member_type,企微-群成员类型,GOI_2,外部联系人,1
GO_wechat_join_type,企微-进群状态,GOI_0,未加群,0
GO_wechat_join_type,企微-进群状态,GOI_1,已加群,1
GO_wechat_join_type,企微-进群状态,GOI_2,已退群,2
GO_wechat_quit_scene,企微-退群方式,GOI_0,自己退群,0
GO_wechat_quit_scene,企微-退群方式,GOI_1,群主/群管理员移出,1
GO_wechat_join_scene,企微-入群方式,GOI_1,由成员邀请入群（直接邀请入群）,0
GO_wechat_join_scene,企微-入群方式,GOI_2,由成员邀请入群（邀请链接入群）,1
GO_wechat_join_scene,企微-入群方式,GOI_3,扫描二维码入群,2
C_GO_v83l1x0frp,商机分类,C_GOI_byzwivxqnt,新客新购,0
C_GO_v83l1x0frp,商机分类,C_GOI_dh82lin4tv,老客老购,1
C_GO_v83l1x0frp,商机分类,C_GOI_wwj3o931dw,老客新购,2
C_GO_v78mvritzy,客户于合作方向所属BU,C_GOI_tof4055501,零售BU,1
C_GO_v78mvritzy,客户于合作方向所属BU,C_GOI_wax91bd962,KA BU,2
C_GO_v78mvritzy,客户于合作方向所属BU,C_GOI_ylgtxa2gy1,智能互动BU,3
C_GO_v78mvritzy,客户于合作方向所属BU,C_GOI_irb7t2dlcf,传蔬BU,4
C_GO_v78mvritzy,客户于合作方向所属BU,C_GOI_nexixo5xaa,生态BU,5
C_GO_v78mvritzy,客户于合作方向所属BU,C_GOI_v3f8v7hiav,2.0商务合作,6
C_GO_v78mvritzy,客户于合作方向所属BU,C_GOI_akseug31mm,2.0收入,7
C_GO_ej5ae37ow6,测试二级,C_GOI_buk242gefm,行业内幕,0
C_GO_ej5ae37ow6,测试二级,C_GOI_yt4vclkzc6,精品解说,0
C_GO_ej5ae37ow6,测试二级,C_GOI_rzpxgt5mwz,行业规则,1
C_GO_ej5ae37ow6,测试二级,C_GOI_ykg1lib7d5,不可不谈,1
C_GO_ej5ae37ow6,测试二级,C_GOI_gu39z3ku4n,谈一下,0
C_GO_payment_stage,回款阶段,C_GOI_qma2ycsdd2,验收款,3
C_GO_payment_stage,回款阶段,C_GOI_first_payment,首付款,4
C_GO_yaz85n6xn8,所在区域,C_GOI_mlcs8xfsnq,西北,7
C_GO_xxulsgrspb,人工成本地区,C_GOI_b82hpapgs7,北京,0
C_GO_xxulsgrspb,人工成本地区,C_GOI_wosknnsrc2,杭州,1
C_GO_xxulsgrspb,人工成本地区,C_GOI_pxx7m25kkb,上海,2
C_GO_xxulsgrspb,人工成本地区,C_GOI_al6mg8pedu,武汉,3
C_GO_xxulsgrspb,人工成本地区,C_GOI_nxyc588zqw,武汉外包,4
C_GO_bbj7xdqyno,职能,C_GOI_ysg68vp34v,运维,0
C_GO_bbj7xdqyno,职能,C_GOI_ohwad8zj62,测试,1
C_GO_bbj7xdqyno,职能,C_GOI_nwisrr8fvs,产品,2
C_GO_bbj7xdqyno,职能,C_GOI_g8p9ep80b7,交付,3
C_GO_bbj7xdqyno,职能,C_GOI_dhbv7tcnzi,开发,4
C_GO_bbj7xdqyno,职能,C_GOI_o1hkhjglgz,客服,5
C_GO_bbj7xdqyno,职能,C_GOI_uleog9s9yt,运营,6
C_GO_bbj7xdqyno,职能,C_GOI_czy5np771y,解决方案,7
C_GO_bbj7xdqyno,职能,C_GOI_g4jjnmznjl,AI产品,8
C_GO_bbj7xdqyno,职能,C_GOI_gtehnaenbp,算法,9
C_GO_bbj7xdqyno,职能,C_GOI_pjos4vrq65,实习生,10
C_GO_tvxcnjmst2,级别,C_GOI_vobbkb6fm6,初级,0
C_GO_tvxcnjmst2,级别,C_GOI_wl9c1z1lv0,中级,1
C_GO_tvxcnjmst2,级别,C_GOI_vxuq7bawft,高级,2
C_GO_payment,支付方式,C_GOI_alipay,支付宝,0
C_GO_payment,支付方式,C_GOI_wechat,微信,1
C_GO_payment,支付方式,C_GOI_union_pay_qrcode,银联二维码,2
C_GO_invoice_type,发票类型,C_GOI_w63ort3v75,增值税专用发票,0
C_GO_invoice_type,发票类型,C_GOI_bzupn3s9i9,增值税普通发票,1
C_GO_oa0ue38blv,客户类型,C_GOI_p2p6okq9e8,供应商,6
C_GO_rfw1awze5d,人员规模,小于50人,小于50人,2
C_GO_xxulsgrspb,人工成本地区,C_GOI_tnd1uvq6t1,传蔬,5
C_GO_payment,支付方式,C_GOI_1,国中好货,3
C_GO_payment,支付方式,C_GOI_2,屈臣氏虚拟卡,4
C_GO_payment,支付方式,C_GOI_3,工行数字人民币-卡部,5
C_GO_payment,支付方式,C_GOI_4,建行龙支付,6
C_GO_payment,支付方式,C_GOI_5,紫金农商,7
C_GO_payment,支付方式,C_GOI_6,翼支付3.0,8
C_GO_payment,支付方式,C_GOI_7,银商资讯,9
C_GO_payment,支付方式,C_GOI_8,银联一码付,10
C_GO_payment,支付方式,C_GOI_9,万家积分,11
C_GO_payment,支付方式,C_GOI_10,乐刷间联,12
C_GO_payment,支付方式,C_GOI_11,农行间连,13
C_GO_payment,支付方式,C_GOI_12,华润银行,14
C_GO_i7vzclqtmc,关闭原因,0,功能不匹配,0
C_GO_i7vzclqtmc,关闭原因,1,多次未接通,1
C_GO_i7vzclqtmc,关闭原因,2,同行,2
C_GO_i7vzclqtmc,关闭原因,3,无需求,3
C_GO_i7vzclqtmc,关闭原因,4,信息错误,4
C_GO_i7vzclqtmc,关闭原因,5,空号,5
C_GO_i7vzclqtmc,关闭原因,6,其他,6
C_GO_i7vzclqtmc,关闭原因,7,管理员回收,7
C_GO_i7vzclqtmc,关闭原因,8,系统自动回收,8
C_GO_basnxay7jm,清单项线索来源,1,局领导交办,1
C_GO_basnxay7jm,清单项线索来源,2,省里转办,2
C_GO_basnxay7jm,清单项线索来源,3,省市重大活动对接,3
C_GO_basnxay7jm,清单项线索来源,4,部门,4
C_GO_basnxay7jm,清单项线索来源,5,区县,5
C_GO_basnxay7jm,清单项线索来源,6,商协会,6
C_GO_basnxay7jm,清单项线索来源,7,中介公司,7
C_GO_basnxay7jm,清单项线索来源,8,大院大所,8
C_GO_basnxay7jm,清单项线索来源,9,系统推送,9
C_GO_basnxay7jm,清单项线索来源,10,平台公司,10
C_GO_basnxay7jm,清单项线索来源,11,市领导交办,0
GO_pp0fm8e268,市领导交办,1,罗云峰,0
GO_pp0fm8e268,市领导交办,2,汪卫东,1
GO_pp0fm8e268,市领导交办,3,王文松,2
GO_pp0fm8e268,市领导交办,4,路军,3
GO_pp0fm8e268,市领导交办,5,张泉,4
GO_pp0fm8e268,市领导交办,6,刘卫宝,5
GO_pp0fm8e268,市领导交办,7,袁飞,6
GO_pp0fm8e268,市领导交办,8,王连贵,7
GO_pp0fm8e268,市领导交办,9,何逢阳,8
GO_pp0fm8e268,市领导交办,10,李命山,9
GO_pp0fm8e268,市领导交办,11,王海霞,10
GO_pp0fm8e268,市领导交办,12,罗平,11
GO_x3r0wrr4nm,局领导交办,1,钱文,0
GO_x3r0wrr4nm,局领导交办,2,陈文胜,1
GO_x3r0wrr4nm,局领导交办,3,李青山,2
GO_x3r0wrr4nm,局领导交办,4,韩洋,3
GO_xxr9jot9yw,部门,1,合肥市投促局,0
GO_xxr9jot9yw,部门,2,合肥市工信局,1
GO_xxr9jot9yw,部门,3,合肥市发改委,2
GO_xxr9jot9yw,部门,4,合肥市科技局,3
GO_xxr9jot9yw,部门,5,合肥市生态环境局,4
GO_xxr9jot9yw,部门,6,合肥市农业农村局,5
