dict_code,dict_name,item_value,item_name,sort
GO_expert_source,专家信息来源,GOI_mr1n4tnjcn,省发改委,0
GO_expert_source,专家信息来源,GOI_vqklsfhxfj,市科技局,1
GO_expert_type,专家类型,GOI_bwd96peuoh,管理类,0
GO_expert_type,专家类型,GOI_iu41xjigro,财务金融类,1
GO_expert_type,专家类型,GOI_fxdxqwscan,技术类,2
GO_eyls9msrcg,待办紧急程度,GOI_urgent,紧急,0
GO_eyls9msrcg,待办紧急程度,GOI_not_urgent,不紧急,1
GO_f6dydhisa5,并购买方企业类型,GOI_zqyzfv4y6s,省属国企,0
GO_f6dydhisa5,并购买方企业类型,GOI_j17nvi2gi0,市属国企,1
GO_f6dydhisa5,并购买方企业类型,GOI_foyqrkishz,区属国企,2
GO_f6dydhisa5,并购买方企业类型,GOI_av4bfzjzfi,市场化机构,3
GO_f6dydhisa5,并购买方企业类型,GOI_tod6covsxx,民营企业,4
GO_f6dydhisa5,并购买方企业类型,GOI_zo0g3qbunt,其他,5
GO_f6pl998g8w,投资方来源地,GOI_x1z5m3t37b,北京市-北京市,0
GO_f6pl998g8w,投资方来源地,GOI_nn0no0dzr4,天津市-天津市,1
GO_f6pl998g8w,投资方来源地,GOI_ayip5by0dq,河北省-石家庄市,2
GO_f6pl998g8w,投资方来源地,GOI_d94377w63o,河北省-唐山市,3
GO_f6pl998g8w,投资方来源地,GOI_vt9zep3lkt,河北省-秦皇岛市,4
GO_f6pl998g8w,投资方来源地,GOI_mv5nyvi3cq,河北省-邯郸市,5
GO_f6pl998g8w,投资方来源地,GOI_e7lb0p8568,河北省-邢台市,6
GO_f6pl998g8w,投资方来源地,GOI_dx4pkxc1fa,河北省-保定市,7
GO_f6pl998g8w,投资方来源地,GOI_r7qr6p4p21,河北省-张家口市,8
GO_f6pl998g8w,投资方来源地,GOI_yl2xnvjfwp,河北省-承德市,9
GO_f6pl998g8w,投资方来源地,GOI_jwdc9o7liw,河北省-沧州市,10
